ample_index,ros_time_s,unix_time_s,sensor_0_mm,sensor_1_mm,sensor_2_mm,sensor_3_mm,sensor_4_mm,sensor_5_mm,sensor_6_mm,sensor_7_mm,odin_frame_id,odin_stamp_s,odin_x_m,odin_y_m,odin_z_m,odin_qx,odin_qy,odin_qz,odin_qw,odin_yaw_rad,odin_pose_age_s,input_field_x_m,input_field_y_m,input_field_yaw_rad,corrected_robot_x_m,corrected_robot_y_m,corrected_robot_yaw_rad,corrected_gripper_x_m,corrected_gripper_y_m,corrected_gripper_yaw_rad,target_x_m,target_y_m,target_projection_x_m,target_projection_y_m,gripper_forward_move_m,raw_gripper_forward_move_m,direct,gripper_lateral_error_m,robot_delta_x_m,robot_delta_y_m
1,1783271991.7498636,1783271991.7499316,36.0,6095.0,46.0,151.0,46.0,294.0,23.0,nan,map,18428.034903834,0.12205119299544243,-0.653344624659053,0.021693422824506772,0.013901332302883674,-0.009092848035572941,0.7117251133168222,0.7022616578946649,1.58407439019125,0.009517431259155273,0.5220511929954424,0.596655375340947,1.58407439019125,0.5243635919758013,0.6038197663079763,1.58407439019125,0.49730820067672704,0.0623016653574082,0.013278063391249928,1.05,-0.15,1.04708393866336,0.06960205149872267,0.5498242061937244,0.5498242061937244,1.0,-0.21962141160680734,0.002312398980358843,0.007164390967029255
2,1783272001.66464,1783272001.6646879,37.0,6107.0,44.0,619.0,47.0,313.0,17.0,3344.0,map,18437.948026955,0.5958670803036801,-0.6290549469345855,0.021211748631703182,0.01696344833481265,-0.004936944143215361,0.7276729306626635,0.685696706995104,1.6299245564890423,0.0037140846252441406,0.9958670803036801,0.6209450530654145,1.6299245564890423,0.9930552989290221,0.6209897255124086,1.6299245564890423,0.9908483376736189,0.07880066514926114,0.0591282296890423,1.05,-0.15,1.0362963695676222,0.081491062891511,0.04552759430334355,0.04552759430334355,1.0,-0.2318963166711983,-0.0028117813746579845,4.4672446994131754e-05
3,1783272007.9322517,1783272007.9322903,38.0,5499.0,45.0,671.0,47.0,377.0,13.0,2039.0,map,18444.239252837,0.5971211092330306,-0.6258154539756605,0.020384673517516806,0.019826513374034124,-0.001710331051280357,0.8317100989451363,0.5548533999605625,1.964620555863437,0.002064943313598633,0.9971211092330307,0.6241845460243395,1.964620555863437,0.9858178021111831,0.6289168950759729,1.964620555863437,1.1618326805261623,0.11608884354991253,0.39382422906343706,1.05,-0.15,0.972178516353757,0.037281399288897066,-0.20537603379870478,-0.20537603379870478,1.0,-0.20280657246871897,-0.011303307121847572,0.004732349051633444
4,1783272015.0931118,1783272015.0931559,38.0,831.0,45.0,666.0,47.0,316.0,21.0,4506.0,map,18451.377521721,0.6041161698622174,-0.6441907050337459,0.02074486936021234,0.015099209467500546,-0.008183473049696884,0.6193136743131898,0.784955806049613,1.3357550377808811,0.0031061172485351562,1.0041161698622174,0.6058092949662541,1.3357550377808811,0.9964460876021841,0.6128481615890651,1.3357550377808811,0.8371288451879956,0.09458966997991225,-0.23504128901911892,1.05,-0.15,1.0938496844754733,0.03311340833877771,0.2639790144497025,0.2639790144497025,1.0,-0.18829050730730562,-0.007670082260033295,0.0070388666228109464
5,1783272022.6517472,1783272022.6517816,40.0,5872.0,45.0,584.0,46.0,513.0,13.0,3369.0,map,18458.960685358,0.5628911215864235,-0.4339986024652591,0.01847100205500736,0.018168409371429772,-0.006536754221561153,0.7089824927299497,0.7049617044546361,1.5761974664906053,0.0018353462219238281,0.9628911215864235,0.8160013975347409,1.5761974664906053,0.9568076733936091,0.8228460536081597,1.5761974664906053,0.9254876687742193,0.28155786311616576,0.005401139690605294,1.05,-0.15,1.0476655087513753,0.2822177691139854,0.12217962210372695,0.12217962210372695,1.0,-0.43222407358598186,-0.006083448192814478,0.006844656073418776
6,1783272027.6653259,1783272027.6654027,46.0,2038.0,46.0,591.0,47.0,545.0,12.0,1971.0,map,18463.949945609,0.5577860806209866,-0.4243203142475187,0.019476114350265698,0.019704293631170926,-0.0039100448262851,0.7847068083275898,0.6195415057332966,1.8046298389774793,0.005200386047363281,0.9577860806209866,0.8256796857524813,1.8046298389774793,0.9499267550414648,0.829971237270626,1.8046298389774793,1.0419955599737265,0.29565187301943147,0.23383351217747927,1.05,-0.15,0.9491191944210982,0.27352958721204385,-0.09547468150043338,-0.09547468150043338,1.0,-0.4353782817025356,-0.007859325579521736,0.004291551518144754
7,1783272033.8397188,1783272033.8397667,46.0,2343.0,46.0,613.0,45.0,525.0,15.0,5106.0,map,18470.133149897,0.5583733388591684,-0.4374099977648659,0.01933950814992698,0.0161494600354037,-0.008651330339017996,0.6315414280426382,0.7751256505172535,1.3671140999838145,0.009465694427490234,0.9583733388591684,0.8125900022351341,1.3671140999838145,0.9539127056939245,0.819239230994472,1.3671140999838145,0.8109232291265018,0.2962403233030409,-0.20368222681618553,1.05,-0.15,1.128616119993675,0.23062198419922764,0.3243987350996989,0.3243987350996989,1.0,-0.38865613230543133,-0.004460633165243921,0.006649228759337933
8,1783272046.0190117,1783272046.0190408,44.0,5505.0,45.0,496.0,46.0,868.0,13.0,2010.0,map,18482.303417245,0.4649246517955107,-0.08068166549150302,0.016572823347705254,0.017102945452069192,-0.006484059702265609,0.7084720448062126,0.7055018128642513,1.574747902150997,0.008395671844482422,0.8649246517955107,1.169318334508497,1.574747902150997,0.8688048847786155,1.1775844347519486,1.574747902150997,0.8367002812809872,0.6363422132930941,0.003951575350996883,1.05,-0.15,1.0468894111925597,0.6371727958010722,0.21019077096839078,0.21019077096839078,1.0,-0.7871789416720988,0.0038802329831048032,0.008266100243451646
9,1783272054.0014534,1783272054.0015008,42.0,4709.0,45.0,498.0,47.0,908.0,14.0,2065.0,map,18490.271183712,0.46140936849730185,-0.07499428363154292,0.01703829802700672,0.018559887634009252,-0.004141996884746125,0.7864569231238039,0.6173523163506061,1.8102819174207985,0.0010895729064941406,0.8614093684973019,1.175005716368457,1.8102819174207985,0.8577273007299795,1.184859794229277,1.8102819174207985,0.9528146339325579,0.6510693419730779,0.23948559062079844,1.05,-0.15,0.8599388814441384,0.6283917249866312,-0.09560428710300668,-0.09560428710300668,1.0,-0.8012595748659536,-0.0036820677673223834,0.009854077860819821
10,1783272065.473263,1783272065.4733024,40.0,5534.0,49.0,872.0,45.0,865.0,20.0,1622.0,map,18501.772992535,0.8494054176979952,-0.07124846531230755,0.015342207319254345,0.016506924325209612,-0.006116493064500919,0.7223800238960911,0.6912721685687891,1.6145737710990717,0.002979278564453125,1.2494054176979952,1.1787515346876924,1.6145737710990717,1.2459839514178588,1.1737450841910957,1.6145737710990717,1.2354545491607665,0.6316537823391253,0.04377744429907171,1.05,-0.15,1.016180087841466,0.6220483698939868,-0.21948474510797006,-0.21948474510797006,1.0,-0.7727887628028588,-0.003421466280136398,-0.005006450496596759
11,1783272073.1492963,1783272073.149362,40.0,5794.0,45.0,839.0,44.0,604.0,12.0,3043.0,map,18509.45167064,0.8145429937899346,-0.3306290820303419,0.019762348126775336,0.017215623430209773,-0.007349172354841955,0.7165573681158292,0.6972769537095889,1.5978330529855829,0.009163141250610352,1.2145429937899346,0.9193709179696581,1.5978330529855829,1.2126091256299933,0.9133617589575088,1.5978330529855829,1.1930066249780682,0.3715226778424171,0.027036726185582838,1.05,-0.15,1.0360111147059508,0.36727699865975943,-0.1570529084013556,-0.1570529084013556,1.0,-0.5174661170107845,-0.0019338681599412322,-0.006009159012149268
